Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager,Strategien,Seed,Dateiname
382.0,16446.0,9199.359999999999,1.0,53.0,1.0,0.0,0.2,0.3,Affiliate-Marketing,20042,simulation_affiliate-marketing_run1_seed20042.csv
394.0,16766.0,9360.256666666664,2.0,59.0,0.0,0.0,0.2,0.3,Affiliate-Marketing,20043,simulation_affiliate-marketing_run2_seed20043.csv
441.0,16738.0,9364.089999999998,2.0,48.0,0.0,0.0,0.2,0.3,Affiliate-Marketing,20044,simulation_affiliate-marketing_run3_seed20044.csv
