Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager,Strategien,Seed,Dateiname
364.0,16913.0,9433.516666666665,3.0,50.0,0.0,0.0,0.2,0.3,Affiliate-Marketing,42,simulation_affiliate-marketing_run1_seed42.csv
358.0,16103.0,8995.766666666665,2.0,64.0,0.0,0.0,0.19970852656493282,0.3,Affiliate-Marketing,43,simulation_affiliate-marketing_run2_seed43.csv
429.0,16512.0,9244.57,1.0,40.0,0.0,0.0,0.2,0.3,Affiliate-Marketing,44,simulation_affiliate-marketing_run3_seed44.csv
407.0,16203.0,9063.07,2.0,52.0,0.0,0.0,0.2,0.3,Affiliate-Marketing,45,simulation_affiliate-marketing_run4_seed45.csv
425.0,16727.0,9375.056666666665,1.0,48.0,0.0,0.0,0.2,0.3,Affiliate-Marketing,46,simulation_affiliate-marketing_run5_seed46.csv
