Anbieter,Nachfrager,Netzwerkeffekte,Neue Anbieter,Neue Nachfrager,Abgewanderte Anbieter,Abgewanderte Nachfrager,Beitrittsrate Anbieter,Beitrittsrate Nachfrager,Strategien,Seed,Dateiname
437.0,16256.0,9113.062799999998,5.0,58.0,0.0,0.0,0.2,0.3,"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",2052,simulation_sichtbarkeit_nutzergewinnung_nachhaltigkeit_lokalität_run1_seed2052.csv
361.0,15652.0,8785.236133333332,3.0,47.0,0.0,0.0,0.19373828735576054,0.3,"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",2053,simulation_sichtbarkeit_nutzergewinnung_nachhaltigkeit_lokalität_run2_seed2053.csv
426.0,16005.0,8977.079466666666,4.0,56.0,0.0,0.0,0.19925473115538112,0.3,"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",2054,simulation_sichtbarkeit_nutzergewinnung_nachhaltigkeit_lokalität_run3_seed2054.csv
458.0,17235.0,9632.7928,1.0,54.0,0.0,0.0,0.2,0.3,"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",2055,simulation_sichtbarkeit_nutzergewinnung_nachhaltigkeit_lokalität_run4_seed2055.csv
419.0,16399.0,9176.709466666665,2.0,54.0,0.0,0.0,0.2,0.3,"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",2056,simulation_sichtbarkeit_nutzergewinnung_nachhaltigkeit_lokalität_run5_seed2056.csv
